key, en
Type:23, House/Single Family
Type:24, Duplex
Type:25, Triplex
Type:26, Fourplex
Type:27, Mixed
Type:28, Recreational
Type:29, Other
Area:1, Bowen Island
Area:2, Burnaby East
Area:3, Burnaby North
Area:4, Burnaby South
Area:5, Coquitlam
Area:6, Islands-Van. & Gulf
Area:7, Ladner
Area:8, Maple Ridge
Area:9, North Vancouver
Area:10, New Westminster
Area:11, Pemberton
Area:12, Pitt Meadows
Area:13, Port Moody
Area:14, Port Coquitlam
Area:15, Richmond
Area:16, Sunshine Coast
Area:17, Squamish
Area:18, Tsawwassen
Area:19, Vancouver East
Area:20, Vancouver West
Area:21, Whistler
Area:22, West Vancouver
Area:23, N. Delta
Area:24, North Surrey
Area:25, Surrey
Area:26, Cloverdale
Area:27, South Surrey White Rock
Area:28, Langley
Area:29, Abbotsford
Area:30, Mission
Area:31, FVREB Out of Town
Area:32, Out of Town
Area:33, 100 Mile House (Zone 10)
Area:34, Williams Lake (Zone 27)
Area:35, Quesnel (Zone 28)
Area:36, Prince Rupert (Zone 52)
Area:37, Houston (Zone 53)
Area:38, Smithers And Area (Zone 54)
Area:39, Burns Lake (Zone 55)
Area:40, Vanderhoof And Area (Zone 56)
Area:41, Fort St. James (Zone 57)
Area:42, Fort St. John (Zone 60)
Area:43, Fort Nelson (Zone 64)
Area:44, Mackenzie (Zone 69)
Area:45, PG City West (Zone 71)
Area:46, PG City Central (Zone 72)
Area:47, PG City North (Zone 73)
Area:48, PG City South (Zone 74)
Area:49, PG City South East (Zone 75)
Area:50, PG Rural North (Zone 76)
Area:51, PG Rural West (Zone 77)
Area:52, PG Rural South (Zone 78)
Area:53, PG Rural East (Zone 80)
Area:54, Robson Valley (Zone 81)
Area:55, Terrace (Zone 88)
Area:56, Kitimat (Zone 89)
Area:57, BCNREB Out of Area
Area:58, FRV Fake Area
Area:59, VAN Fake Area
Area:60, CHI Fake Area
Area:61, BCN Fake Area
Area:62, Agassiz
Area:63, Harrison Hot Springs
Area:64, Harrison Mills / Mt Woodside
Area:65, Hope
Area:66, Rosedale
Area:67, Cultus Lake
Area:68, Sardis
Area:69, Yarrow
Area:70, Chilliwack
Area:71, Other CADREB
Area:72, NOT IN USE
City:100 MILE, 100 Mile House
City:100 MILE R, 100 Mile House - Rural
City:100 MILE T, 100 Mile House - Town
City:100 MILE W, 100 Mile House - West
City:103 MILE H, 103 Mile House
City:108 MILE, 108 Mile Ranch
City:150 MILE, 150 Mile House
City:70 MILE, 70 Mile House
City:ABBOTSFORD, Abbotsford
City:ABERDEEN, Aberdeen
City:AGASSIZ, Agassiz
City:AIRPORT, Airport
City:ANMORE, Anmore
City:ASSMAN, Assman
City:BCR INDUST, BCR Industrial Site
City:BEAR, Bear Lake
City:BEAVERLEY, Beaverley
City:BEDNESTI, Bednesti
City:BELCARRA, Belcarra
City:BELLACOOLA, Bella Coola
City:BIRCHWOOD, Birchwood
City:BIRKEN, Birken
City:BLACKWATER, Blackwater
City:BOSTON, Boston Bar
City:BOSTON BAR, Boston Bar / Lytton
City:BOUCHIE LA, Bouchie Lake
City:BOWEN, Bowen Island
City:BRACKENDAL, Brackendale
City:BRIDGE, Bridge Lake
City:BRITANNIA, Britannia Beach
City:BUCKHORN, Buckhorn
City:BURNABY, Burnaby
City:BURNS, Burns Lake
City:BURNSLK E, Burns Lake - Rural East
City:BURNSLK N, Burns Lake - Rural North
City:BURNSLK S, Burns Lake - Rural South
City:BURNSLK TW, Burns Lake - Town
City:BURNSLK W, Burns Lake - Rural West
City:CADREB OTH, Cadreb Other
City:CANIM, Canim Lake
City:CARTER LIG, Carter Light
City:CENTRAL, Central
City:CHARELLA, Charella / Starlane
City:CHARLIE, Charlie Lake
City:CHIEF LAKE, Chief Lake
City:CHILLIWACK, Chilliwack
City:CLUCULZ LA, Cluculz Lake
City:COLUMBIA, Columbia Valley
City:CONNAUGHT, Connaught
City:COQUITLAM, Coquitlam
City:CRANBROOK, Cranbrook Hill
City:CRESCENTS, Crescents
City:CULTUS, Cultus Lake
City:D'ARCY, D'Arcy
City:DANSON, Danson
City:DEKA LAKE, Deka Lake / Sulphurous / Hathaway Lakes
City:DELTA, Delta
City:DEVINE, Devine
City:DOME CREEK, Dome Creek
City:DOWNTOWN, Downtown
City:EAST END, East End
City:EDGEWOOD T, Edgewood Terrace
City:EGMONT, Egmont
City:EMERALD, Emerald
City:ESLERDOGC, Esler / Dog Creek
City:FIVECOVES, Five Coves
City:FOOTHILLS, Foothills
City:FOREST, Forest Grove
City:FRASER, Fraser Lake
City:FRASERVIEW, Fraserview
City:FT FRASER, Fort Fraser
City:FT NEL RMT, Fort Nelson - Remote
City:FT NEL RUR, Fort Nelson - Rural
City:FT NEL TWN, Fort Nelson - Town
City:FT NELSON, Fort Nelson
City:FT ST JOHN, Fort St. John
City:FT STJAM R, Fort St. James - Rural
City:FT STJAM T, Fort St. James - Town
City:FT STJAMES, Fort St. James
City:FT STJN NE, Fort St. John - City NE
City:FT STJN NW, Fort St. John - City NW
City:FT STJN RE, Fort St . John - Rural E 100th
City:FT STJN RW, Fort St. John - Rural W 100th
City:FT STJN SE, Fort St. John - City SE
City:FT STJN SW, Fort St. John - City SW
City:FURRY, Furry Creek
City:GABRIOLA, Gabriola Island
City:GALIANO, Galiano Island
City:GAMBIER, Gambier Island
City:GARDEN, Garden Bay
City:GARIBALDI, Garibaldi Highlands
City:GAUTHIER, Gauthier
City:GIBSONS, Gibsons
City:GISCOME, Giscome
City:GRANISLE, Granisle
City:GRANTHAMS, Granthams Landing
City:HALDI, Haldi
City:HALFMOON, Halfmoon Bay
City:HANSARD, Hansard
City:HARPER VAL, Harper Valley
City:HARRISONHS, Harrison Hot Springs
City:HARRISONMI, Harrison Mills
City:HART HIGHL, Hart Highlands
City:HART HIGHW, Hart Highway
City:HAZELTON, Hazelton
City:HERITAGE, Heritage
City:HIGHGLEN, Highglen
City:HIGHLAND P, Highland Park
City:HIXON, Hixon
City:HOBBY RANC, Hobby Ranches
City:HOPE, Hope
City:HOPKINS, Hopkins Landing
City:HORSE LAKE, Horse Lake
City:HORSEFLY, Horsefly
City:HOUSTON, Houston
City:HOUSTONRUR, Houston - Rural
City:HOUSTONTWN, Houston - Town
City:HUDSONS, Hudsons Hope
City:INGALA, Ingala
City:IRVINES, Irvines Landing
City:ISLE PIERR, Isle Pierre
City:JENSEN, Jensen
City:KEATS, Keats Island
City:KITIMAT, Kitimat
City:KITWANGA, Kitwanga
City:LACLAHACHE, Lac La Hache
City:LADNER, Ladner
City:LAFRENIERE, Lafreniere
City:LAIDLAW, Laidlaw
City:LAKELSE, Lakelse Lake
City:LAKESIDE R, Lakeside Rural
City:LAKEWOOD, Lakewood
City:LANGDALE, Langdale
City:LANGLEY, Langley
City:LINDELL, Lindell Beach
City:LIONS BAY, Lions Bay
City:LONE BUTTE, Lone Butte
City:LOWER COLL, Lower College
City:LOWER MUD, Lower Mud
City:MACKEN RUR, Mackenzie - Rural
City:MACKEN TWN, Mackenzie - Town
City:MACKENZIE, Mackenzie
City:MADEIRA, Madeira Park
City:MAPLERIDGE, Maple Ridge
City:MASSET, Masset
City:MAYNE, Mayne Island
City:MCBRIDE, McBride
City:MCBRIDE RW, McBride - Rural West
City:MCBRIDE TW, McBride - Town
City:MCLEESE, McLeese Lake
City:MCLEOD, McLeod Lake
City:MILLAR ADD, Millar Addition
City:MISSION, Mission
City:MIWORTH, Miworth
City:MOUNT ALDE, Mount Alder
City:MT CURRIE, Mount Currie
City:MTWOODSIDE, Mt Woodside
City:NECHAKO BE, Nechako Bench
City:NECHAKO RI, Nechako Ridge
City:NECHAKO VI, Nechako View
City:NELSON, Nelson Island
City:NESS LAKE, Ness Lake
City:NEW HAZEL, New Hazelton
City:NEW WEST, New Westminster
City:NO CITY, No City Value
City:NORTH BLAC, North Blackburn
City:NORTH KELL, North Kelly
City:NORTH MEAD, North Meadows
City:NORTH VANC, North Vancouver
City:NUKKO LAKE, Nukko Lake
City:OLD SUMMIT, Old Summit Lake Road
City:PARKRIDGE, Parkridge
City:PEDEN HILL, Peden Hill
City:PEMBERTON, Pemberton
City:PENDER HRB, Pender Harbour
City:PENDER ISL, Pender Island
City:PERRY, Perry
City:PINECONE, Pinecone
City:PINEVIEW, Pineview
City:PINEWOOD, Pinewood
City:PITT, Pitt Meadows
City:PORT CLEM, Port Clements
City:PORT COQ, Port Coquitlam
City:PORT EDWRD, Port Edward
City:PORT MEL, Port Mellon
City:PORT MOODY, Port Moody
City:PRINCE GRG, Prince George
City:PRINCE RUP, Prince Rupert
City:PRNCRUPCTY, Prince Rupert City
City:PRNCRUPRUR, Prince Rupert Rural
City:PURDEN, Purden
City:QUEEN CHAR, Queen Charlotte City
City:QUEENCHARR, Queen Charlotte - Rural
City:QUESNEL, Quesnel
City:QUESNEL RN, Quesnel - Rural North
City:QUESNEL RS, Quesnel - Rural South
City:QUESNEL RW, Quesnel - Rural West
City:QUESNEL TN, Quesnel - Town
City:QUINSON, Quinson
City:RED BLUFF, Red Bluff / Dragon Lake
City:RED ROCK, Red Rock / Stoner
City:REID LAKE, Reid Lake
City:RICHMOND, Richmond
City:ROBERTS, Roberts Creek
City:ROSEDALE, Rosedale
City:RUBY, Ruby Lake
City:RYDER LAKE, Ryder Lake
City:SALMON, Salmon Valley
City:SALTSPRING, Salt Spring Island
City:SARDIS, Sardis
City:SARDIS CRV, Sardis - Chwk River Valley
City:SARDIS GRN, Sardis - Greendale
City:SATURNA, Saturna Island
City:SECHELT, Sechelt
City:SEYMOUR, Seymour
City:SHELLEY, Shelley
City:SINTICH, Sintich
City:SMITHERS, Smithers
City:SMITHERS R, Smithers - Rural
City:SMITHERS T, Smithers - Town
City:SOAMES, Soames Point
City:SOUTH BLAC, South Blackburn
City:SOUTH FORT, South Fort George
City:SOUTH FRAN, South Francois
City:SOUTH PEAC, South Peace
City:SPRUCELAND, Spruceland
City:SQUAMISH, Squamish
City:ST. LAWREN, St. Lawrence Heights
City:STEWART, Stewart
City:STWRT CAS, Stewart / Cassiar
City:SUMMIT, Summit Lake
City:SUNSHINE V, Sunshine Valley
City:SURREY, Surrey
City:TABOR LAKE, Tabor Lake
City:TAYLOR, Taylor
City:TELKWA, Telkwa
City:TERRACE, Terrace
City:TERRACE C, Terrace - City
City:TERRACE NR, Terrace - Northwest/Rosswood
City:TERRACE RE, Terrace - Rural East / Cedarvale
City:TERRACE RS, Terrace - Rural Southwest
City:THORNHILL, Thornhill
City:TOPLEY, Topley
City:TSAWW, Tsawwassen
City:UBC, University Endowment Lands
City:UPPER COLL, Upper College Heights
City:UPPER FRAS, Upper Fraser
City:UPPER MUD, Upper Mud
City:VALEMNT RS, Valemount - Rural South
City:VALEMNT RW, Valemount - Rural West
City:VALEMNT TN, Valemount - Town
City:VALEMOUNT, Valemount
City:VALLEYVIEW, Valleyview
City:VAN BOW, Van Bow
City:VANCOUVER, Vancouver
City:VANDERHF R, Vanderhoof - Rural
City:VANDERHF T, Vanderhoof - Town
City:VANDERHOOF, Vanderhoof
City:VLA, VLA
City:WELLS, Wells
City:WELLS BARK, Wells / Barkerville
City:WEST AUSTI, West Austin
City:WEST VANC, West Vancouver
City:WESTERN AC, Western Acres
City:WESTWOOD, Westwood
City:WHISTLER, Whistler
City:WHITE ROCK, White Rock
City:WILLIAMS, Williams Lake
City:WILLIAMSC, Williams Lake - City
City:WILLIAMSRE, Williams Lake - Rural East
City:WILLIAMSRN, Williams Lake - Rural North
City:WILLIAMSRS, Williams Lake - Rural South
City:WILLIAMSRW, Williams Lake - Rural West
City:WILLOW, Willow River
City:WILSON, Wilson Creek
City:YALE, Yale
City:YARROW, Yarrow
City:ATLIN, Atlin
City:LIKELY, Likely
Province:_, _
Province:AB, AB
Province:AK, AK
Province:AL, AL
Province:AR, AR
Province:AZ, AZ
Province:BC, BC
Province:CA, CA
Province:CO, CO
Province:CT, CT
Province:DC, DC
Province:DE, DE
Province:FL, FL
Province:GA, GA
Province:HI, HI
Province:IA, IA
Province:ID, ID
Province:IL, IL
Province:IN, IN
Province:KS, KS
Province:KY, KY
Province:LA, LA
Province:MA, MA
Province:MB, MB
Province:MD, MD
Province:ME, ME
Province:MI, MI
Province:MN, MN
Province:MO, MO
Province:MS, MS
Province:MT, MT
Province:NB, NB
Province:NC, NC
Province:ND, ND
Province:NE, NE
Province:NH, NH
Province:NJ, NJ
Province:NL, NL
Province:NM, NM
Province:NS, NS
Province:NT, NT
Province:NU, NU
Province:NV, NV
Province:NY, NY
Province:OH, OH
Province:OK, OK
Province:ON, ON
Province:OR, OR
Province:PA, PA
Province:PE, PE
Province:QC, QC
Province:RI, RI
Province:SC, SC
Province:SD, SD
Province:SK, SK
Province:TN, TN
Province:TX, TX
Province:UT, UT
Province:VA, VA
Province:VT, VT
Province:WA, WA
Province:WI, WI
Province:WV, WV
Province:WY, WY
Province:YT, YT
StreetDesg:1, ALLEY
StreetDesg:2, ACRES
StreetDesg:4, AVENUE
StreetDesg:6, BEACH
StreetDesg:7, BEND
StreetDesg:11, BOULEVARD
StreetDesg:18, BYPASS
StreetDesg:21, CAPE
StreetDesg:23, CENTRE
StreetDesg:25, CIRCLE
StreetDesg:30, COMMON
StreetDesg:35, COURT
StreetDesg:37, COVE
StreetDesg:40, CRESCENT
StreetDesg:42, CROSSING
StreetDesg:49, DRIVE
StreetDesg:52, ESTATES
StreetDesg:70, FREEWAY
StreetDesg:71, GARDEN
StreetDesg:74, GLEN
StreetDesg:77, GROVE
StreetDesg:80, HAVEN
StreetDesg:81, HEIGHTS
StreetDesg:82, HIGHWAY
StreetDesg:83, HILL
StreetDesg:84, HOLLOW
StreetDesg:85, HEATH
StreetDesg:86, ISLAND
StreetDesg:92, KNOLL
StreetDesg:94, LAKE
StreetDesg:97, LANDING
StreetDesg:98, LANE
StreetDesg:100, LINK
StreetDesg:105, LOOP
StreetDesg:106, MALL
StreetDesg:107, MANOR
StreetDesg:110, MEADOWS
StreetDesg:111, MEWS
StreetDesg:116, MOUNT
StreetDesg:123, PARK
StreetDesg:125, PARKWAY
StreetDesg:127, PASS
StreetDesg:128, PASSAGE
StreetDesg:129, PATH
StreetDesg:133, PLACE
StreetDesg:136, PLAZA
StreetDesg:137, POINT
StreetDesg:138, POND
StreetDesg:144, RANCH
StreetDesg:148, RIDGE
StreetDesg:150, RIVER
StreetDesg:151, ROAD
StreetDesg:154, ROW
StreetDesg:160, SHORES
StreetDesg:164, SQUARE
StreetDesg:169, STREET
StreetDesg:171, SUMMIT
StreetDesg:172, TERRACE
StreetDesg:177, TRAIL
StreetDesg:180, VILA
StreetDesg:181, VILLA
StreetDesg:187, VIEW
StreetDesg:189, VILLAGE
StreetDesg:192, VISTA
StreetDesg:193, WALK
StreetDesg:196, WAY
StreetDesg:200, WOOD
StreetDesg:201, QUARRY
StreetDesg:206, BAY
StreetDesg:207, CLOSE
StreetDesg:208, CREEK
StreetDesg:209, DIVERSION
StreetDesg:210, ESPLANADE
StreetDesg:211, GATE
StreetDesg:212, LOOKOUT
StreetDesg:213, PARADE
StreetDesg:214, PEAK
StreetDesg:215, PROMENADE
StreetDesg:216, QUAY
StreetDesg:217, RISE
StreetDesg:218, WYND
StreetDesg:220, NONE
StreetDesg:221, GREEN
StreetDesg:222, CORRAL
Status:1_0, Active
Status:1_1, For Approval
Status:2_0, Sold
Status:2_1, Collapsed
Status:4_0, Expired
Status:5_0, Hold all Action
Status:5_1, Terminated
Status:5_2, Cancel Protected
Status:6_0, Rented
Status:6_1, Leased
Municiplty:A1, Port Alberni - Rural
Municiplty:AB, Abbotsford
Municiplty:AC, Terrace
Municiplty:AN, Anmore
Municiplty:AR, Ascroft - Rural
Municiplty:AS, Ashcroft
Municiplty:BC, Bella Coola Rural
Municiplty:BI, Bowen Island
Municiplty:BL, Burns Lake
Municiplty:BU, Burnaby
Municiplty:C1, Chase
Municiplty:C2, Cranbrook Lakes
Municiplty:C3, Creston
Municiplty:C4, Cranbrook - Rural
Municiplty:C5, Chetwynd
Municiplty:C6, Cowichan - Rural
Municiplty:CA, Castlegar
Municiplty:CB, Castlegar - Rural
Municiplty:CC, Cache Creek
Municiplty:CF, Village of Canal Flats
Municiplty:CH, Chilliwack
Municiplty:CI, Campbell River
Municiplty:CK, Cranbrook
Municiplty:CL, Clinton
Municiplty:CN, North Vancouver
Municiplty:CO, Comox
Municiplty:CQ, Coquitlam
Municiplty:CR, Chilliwack - Rural
Municiplty:CS, Creston - Rural
Municiplty:CT, Courtenay
Municiplty:CU, Cumberland
Municiplty:DC, Dawson Creek
Municiplty:DE, Delta
Municiplty:DR, Duncan - Rural
Municiplty:DU, Duncan
Municiplty:DW, Wells
Municiplty:EL, Elkford
Municiplty:ES, Esquimalt
Municiplty:F1, Fernie Rural
Municiplty:FE, Fernie
Municiplty:FL, Fraser Lake
Municiplty:FN, Fort Nelson
Municiplty:FR, Fruitvale
Municiplty:G1, Gulf Islands
Municiplty:G2, Greenwood
Municiplty:G3, Granisle
Municiplty:GF, Grand Forks
Municiplty:GI, Gibsons
Municiplty:GO, Golden
Municiplty:GR, Gold River (including Rural)
Municiplty:HA, Hazelton
Municiplty:HH, Hudsons Hope
Municiplty:HM, 100 Mile House
Municiplty:HO, Houston
Municiplty:HR, Houston Rural
Municiplty:IG, Golden Rural
Municiplty:IN, Invermere
Municiplty:IR, Invermere - Rural
Municiplty:JA, Fort St James
Municiplty:K1, Kaslo
Municiplty:K2, Kimberley
Municiplty:KA, Kamloops
Municiplty:KE, Keremeos
Municiplty:KI, Kitimat
Municiplty:KR, Kamloops Rural
Municiplty:L1, Ladysmith
Municiplty:L8, Lantzville (SD 68)
Municiplty:L9, Lantzville (SD 69)
Municiplty:LA, Langley
Municiplty:LB, Lions Bay
Municiplty:LC, Lake Cowichan
Municiplty:LI, Lillooet
Municiplty:LL, Logan Lake
Municiplty:LR, Lillooet Rural
Municiplty:LY, Lytton
Municiplty:M1, Midway
Municiplty:M2, Merritt - Rural
Municiplty:MA, Masset
Municiplty:MB, Mcbride
Municiplty:ME, Merritt
Municiplty:MI, Mission
Municiplty:MK, Mackenzie
Municiplty:MO, Montrose
Municiplty:MR, Maple Ridge
Municiplty:MU, Musqueam Indian Band
Municiplty:N1, Nakusp
Municiplty:N2, Nelson Rural
Municiplty:N3, Dawson Creek/Fort Nelson Rural
Municiplty:NA, Nanaimo
Municiplty:NC, North Cowichan
Municiplty:ND, New Denver
Municiplty:NE, Nelson
Municiplty:NH, New Hazelton
Municiplty:NI, Port Hardy/North Island Rural
Municiplty:NP, Dawson Creek Rural/North Peace
Municiplty:NR, Nanaimo - Rural
Municiplty:NS, Nakusp - Rural
Municiplty:NV, North Vancouver District
Municiplty:NW, New Westminster
Municiplty:OB, Oak Bay
Municiplty:OL, Oliver
Municiplty:ON, Okanagan
Municiplty:OP, Out of Province
Municiplty:OS, Osoyoos
Municiplty:P1, Pemberton
Municiplty:P2, Port Edward
Municiplty:P3, Princeton
Municiplty:P4, Powell River
Municiplty:PA, Port Alberni
Municiplty:PC, Pouce Coupe
Municiplty:PE, Penticton
Municiplty:PG, City of Prince George
Municiplty:PI, Pitt Meadows
Municiplty:PK, Parksville
Municiplty:PM, Port Moody
Municiplty:PQ, Port Coquitlam
Municiplty:PR, Prince George Rural
Municiplty:PT, Prince Rupert
Municiplty:QB, Qualicum Beach
Municiplty:QC, Queen Charlotte City - Rural
Municiplty:QR, Quesnel Rural
Municiplty:QU, Quesnel
Municiplty:R1, Rossland
Municiplty:R2, Parksville/Qualicum - Rural
Municiplty:R3, Campbell River - Rural
Municiplty:RC, Rock Creek
Municiplty:RE, Revelstoke
Municiplty:RG, Grand Forks - Rural
Municiplty:RH, Radium
Municiplty:RI, Richmond
Municiplty:RO, Oliver - Rural
Municiplty:RP, Penticton - Rural
Municiplty:RU, Comox - North Rural
Municiplty:S1, Salmo
Municiplty:S2, Silverton
Municiplty:S3, Sparwood
Municiplty:S4, Smithers Rural
Municiplty:S5, Salmon Arm
Municiplty:S6, Summerland
Municiplty:SA, Saanich
Municiplty:SB, Squamish Indian Band
Municiplty:SC, Central Saanich
Municiplty:SI, Sidney
Municiplty:SJ, Fort St John
Municiplty:SL, Slocan
Municiplty:SM, Smithers
Municiplty:SN, North Saanich
Municiplty:SP, Dawson Creek - South Peace
Municiplty:SQ, Dist. of Squamish
Municiplty:SR, Sechelt Rural
Municiplty:ST, Stewart
Municiplty:SU, Surrey
Municiplty:SW, Sayward
Municiplty:T1, Trail
Municiplty:T2, Tumbler Ridge
Municiplty:TA, Taylor
Municiplty:TE, Telkwa
Municiplty:TR, Terrace Rural
Municiplty:TS, Trail - Rural
Municiplty:TU, Tofino/Ucuelet
Municiplty:TZ, Tahsis/Zeballos
Municiplty:UL, University Lands
Municiplty:UP, Prince Rupert Rural
Municiplty:V1, Vanderhoof
Municiplty:V2, Vanderhoof Rural
Municiplty:VA, City of Vancouver
Municiplty:VB, Belcarra
Municiplty:VI, Victoria
Municiplty:VM, Valemount
Municiplty:VP, Port Clements
Municiplty:VQ, Village of Queen Charlotte
Municiplty:VR, View Royal
Municiplty:VS, Sechelt (Village)
Municiplty:W1, Williams Lake Rural
Municiplty:WA, Warfield
Municiplty:WC, Western Communities
Municiplty:WH, Whistler
Municiplty:WL, Williams Lake
Municiplty:WR, White Rock
Municiplty:WV, West Vancouver
RD:BCNREB, BC Northern
RD:CADREB, Chilliwack
RD:FVREB, Fraser Valley
RD:REBGV, Greater Vancouver
SOrA:F11, Annieville
SOrA:F12, Nordel
SOrA:F13, Scottsdale
SOrA:F14, Sunshine Hills Woods
SOrA:F21, Bridgeview
SOrA:F22, Bolivar Heights
SOrA:F23, Fraser Heights
SOrA:F24, Royal Heights
SOrA:F25, Cedar Hills
SOrA:F26, Whalley
SOrA:F27, Guildford
SOrA:F28, Port Kells
SOrA:F31, Queen Mary Park Surrey
SOrA:F32, Bear Creek Green Timbers
SOrA:F34, Fleetwood Tynehead
SOrA:F36, West Newton
SOrA:F37, East Newton
SOrA:F38, Panorama Ridge
SOrA:F39, Sullivan Station
SOrA:F41, Cloverdale BC
SOrA:F42, Serpentine
SOrA:F43, Clayton
SOrA:F51, Elgin Chantrell
SOrA:F52, Sunnyside Park Surrey
SOrA:F53, Crescent Bch Ocean Pk.
SOrA:F54, White Rock
SOrA:F55, King George Corridor
SOrA:F56, Hazelmere
SOrA:F57, Grandview Surrey
SOrA:F58, Morgan Creek
SOrA:F59, Pacific Douglas
SOrA:F60, Murrayville
SOrA:F61, Walnut Grove
SOrA:F62, County Line Glen Valley
SOrA:F63, Willoughby Heights
SOrA:F64, Salmon River
SOrA:F65, Brookswood Langley
SOrA:F66, Aldergrove Langley
SOrA:F67, Campbell Valley
SOrA:F68, Otter District
SOrA:F69, Fort Langley
SOrA:F6A, Langley City
SOrA:F70, Poplar
SOrA:F71, Bradner
SOrA:F72, Matsqui
SOrA:F73, Sumas Mountain
SOrA:F74, Abbotsford West
SOrA:F75, Abbotsford East
SOrA:F76, Aberdeen
SOrA:F77, Sumas Prairie
SOrA:F78, Central Abbotsford
SOrA:F80, Hatzic
SOrA:F81, Stave Falls
SOrA:F82, Steelhead
SOrA:F83, Mission BC
